Job runs on node:
lrdn4990
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=4
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 0.826407, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 0.643379, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 0.549358, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 0.482053, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 0.463250, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 0.426958, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 0.403165, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 0.387883, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.272514, 	Val Loss = 0.343354
Epoch 2, 	Batch:1, 	Train Loss = 0.218916, 	Val Loss = 0.343354
Epoch 2, 	Batch:2, 	Train Loss = 0.221050, 	Val Loss = 0.343354
Epoch 2, 	Batch:3, 	Train Loss = 0.207444, 	Val Loss = 0.343354
Epoch 2, 	Batch:4, 	Train Loss = 0.230704, 	Val Loss = 0.343354
Epoch 2, 	Batch:5, 	Train Loss = 0.222699, 	Val Loss = 0.343354
Epoch 2, 	Batch:6, 	Train Loss = 0.220545, 	Val Loss = 0.343354
Epoch 2, 	Batch:7, 	Train Loss = 0.222315, 	Val Loss = 0.343354
Epoch 3, 	Batch:0, 	Train Loss = 0.234238, 	Val Loss = 0.316449
Epoch 3, 	Batch:1, 	Train Loss = 0.168556, 	Val Loss = 0.316449
Epoch 3, 	Batch:2, 	Train Loss = 0.183056, 	Val Loss = 0.316449
Epoch 3, 	Batch:3, 	Train Loss = 0.176351, 	Val Loss = 0.316449
Epoch 3, 	Batch:4, 	Train Loss = 0.208092, 	Val Loss = 0.316449
Epoch 3, 	Batch:5, 	Train Loss = 0.203548, 	Val Loss = 0.316449
Epoch 3, 	Batch:6, 	Train Loss = 0.203964, 	Val Loss = 0.316449
Epoch 3, 	Batch:7, 	Train Loss = 0.207349, 	Val Loss = 0.316449
Epoch 4, 	Batch:0, 	Train Loss = 0.221835, 	Val Loss = 0.305475
Epoch 4, 	Batch:1, 	Train Loss = 0.164241, 	Val Loss = 0.305475
Epoch 4, 	Batch:2, 	Train Loss = 0.173658, 	Val Loss = 0.305475
Epoch 4, 	Batch:3, 	Train Loss = 0.167385, 	Val Loss = 0.305475
Epoch 4, 	Batch:4, 	Train Loss = 0.195910, 	Val Loss = 0.305475
Epoch 4, 	Batch:5, 	Train Loss = 0.192068, 	Val Loss = 0.305475
Epoch 4, 	Batch:6, 	Train Loss = 0.191896, 	Val Loss = 0.305475
Epoch 4, 	Batch:7, 	Train Loss = 0.194460, 	Val Loss = 0.305475
Epoch 5, 	Batch:0, 	Train Loss = 0.216126, 	Val Loss = 0.292898
Epoch 5, 	Batch:1, 	Train Loss = 0.159900, 	Val Loss = 0.292898
Epoch 5, 	Batch:2, 	Train Loss = 0.166863, 	Val Loss = 0.292898
Epoch 5, 	Batch:3, 	Train Loss = 0.158788, 	Val Loss = 0.292898
Epoch 5, 	Batch:4, 	Train Loss = 0.188003, 	Val Loss = 0.292898
Epoch 5, 	Batch:5, 	Train Loss = 0.182949, 	Val Loss = 0.292898
Epoch 5, 	Batch:6, 	Train Loss = 0.182989, 	Val Loss = 0.292898
Epoch 5, 	Batch:7, 	Train Loss = 0.185950, 	Val Loss = 0.292898
Epoch 6, 	Batch:0, 	Train Loss = 0.205224, 	Val Loss = 0.284568
Epoch 6, 	Batch:1, 	Train Loss = 0.148523, 	Val Loss = 0.284568
Epoch 6, 	Batch:2, 	Train Loss = 0.158230, 	Val Loss = 0.284568
Epoch 6, 	Batch:3, 	Train Loss = 0.151425, 	Val Loss = 0.284568
Epoch 6, 	Batch:4, 	Train Loss = 0.180941, 	Val Loss = 0.284568
Epoch 6, 	Batch:5, 	Train Loss = 0.176577, 	Val Loss = 0.284568
Epoch 6, 	Batch:6, 	Train Loss = 0.176643, 	Val Loss = 0.284568
Epoch 6, 	Batch:7, 	Train Loss = 0.179417, 	Val Loss = 0.284568
Epoch 7, 	Batch:0, 	Train Loss = 0.197536, 	Val Loss = 0.271913
Epoch 7, 	Batch:1, 	Train Loss = 0.144721, 	Val Loss = 0.271913
Epoch 7, 	Batch:2, 	Train Loss = 0.152696, 	Val Loss = 0.271913
Epoch 7, 	Batch:3, 	Train Loss = 0.144989, 	Val Loss = 0.271913
Epoch 7, 	Batch:4, 	Train Loss = 0.173943, 	Val Loss = 0.271913
Epoch 7, 	Batch:5, 	Train Loss = 0.170081, 	Val Loss = 0.271913
Epoch 7, 	Batch:6, 	Train Loss = 0.170154, 	Val Loss = 0.271913
Epoch 7, 	Batch:7, 	Train Loss = 0.172921, 	Val Loss = 0.271913
Epoch 8, 	Batch:0, 	Train Loss = 0.192246, 	Val Loss = 0.264504
Epoch 8, 	Batch:1, 	Train Loss = 0.139184, 	Val Loss = 0.264504
Epoch 8, 	Batch:2, 	Train Loss = 0.148013, 	Val Loss = 0.264504
Epoch 8, 	Batch:3, 	Train Loss = 0.140462, 	Val Loss = 0.264504
Epoch 8, 	Batch:4, 	Train Loss = 0.169695, 	Val Loss = 0.264504
Epoch 8, 	Batch:5, 	Train Loss = 0.166179, 	Val Loss = 0.264504
Epoch 8, 	Batch:6, 	Train Loss = 0.166309, 	Val Loss = 0.264504
Epoch 8, 	Batch:7, 	Train Loss = 0.169492, 	Val Loss = 0.264504
Epoch 9, 	Batch:0, 	Train Loss = 0.189545, 	Val Loss = 0.261404
Epoch 9, 	Batch:1, 	Train Loss = 0.139625, 	Val Loss = 0.261404
Epoch 9, 	Batch:2, 	Train Loss = 0.146937, 	Val Loss = 0.261404
Epoch 9, 	Batch:3, 	Train Loss = 0.139298, 	Val Loss = 0.261404
Epoch 9, 	Batch:4, 	Train Loss = 0.167937, 	Val Loss = 0.261404
Epoch 9, 	Batch:5, 	Train Loss = 0.164362, 	Val Loss = 0.261404
Epoch 9, 	Batch:6, 	Train Loss = 0.164384, 	Val Loss = 0.261404
Epoch 9, 	Batch:7, 	Train Loss = 0.167464, 	Val Loss = 0.261404
Epoch 10, 	Batch:0, 	Train Loss = 0.187420, 	Val Loss = 0.259557
Epoch 10, 	Batch:1, 	Train Loss = 0.138798, 	Val Loss = 0.259557
Epoch 10, 	Batch:2, 	Train Loss = 0.146019, 	Val Loss = 0.259557
Epoch 10, 	Batch:3, 	Train Loss = 0.138359, 	Val Loss = 0.259557
Epoch 10, 	Batch:4, 	Train Loss = 0.166869, 	Val Loss = 0.259557
Epoch 10, 	Batch:5, 	Train Loss = 0.163657, 	Val Loss = 0.259557
Epoch 10, 	Batch:6, 	Train Loss = 0.163596, 	Val Loss = 0.259557
Epoch 10, 	Batch:7, 	Train Loss = 0.166938, 	Val Loss = 0.259557
Epoch 11, 	Batch:0, 	Train Loss = 0.186553, 	Val Loss = 0.258815
Epoch 11, 	Batch:1, 	Train Loss = 0.139070, 	Val Loss = 0.258815
Epoch 11, 	Batch:2, 	Train Loss = 0.145469, 	Val Loss = 0.258815
Epoch 11, 	Batch:3, 	Train Loss = 0.137814, 	Val Loss = 0.258815
Epoch 11, 	Batch:4, 	Train Loss = 0.166153, 	Val Loss = 0.258815
Epoch 11, 	Batch:5, 	Train Loss = 0.162801, 	Val Loss = 0.258815
Epoch 11, 	Batch:6, 	Train Loss = 0.162665, 	Val Loss = 0.258815
Epoch 11, 	Batch:7, 	Train Loss = 0.165916, 	Val Loss = 0.258815
Epoch 12, 	Batch:0, 	Train Loss = 0.185369, 	Val Loss = 0.257463
Epoch 12, 	Batch:1, 	Train Loss = 0.138271, 	Val Loss = 0.257463
Epoch 12, 	Batch:2, 	Train Loss = 0.144478, 	Val Loss = 0.257463
Epoch 12, 	Batch:3, 	Train Loss = 0.136938, 	Val Loss = 0.257463
Epoch 12, 	Batch:4, 	Train Loss = 0.165266, 	Val Loss = 0.257463
Epoch 12, 	Batch:5, 	Train Loss = 0.161919, 	Val Loss = 0.257463
Epoch 12, 	Batch:6, 	Train Loss = 0.161776, 	Val Loss = 0.257463
Epoch 12, 	Batch:7, 	Train Loss = 0.165082, 	Val Loss = 0.257463
Epoch 13, 	Batch:0, 	Train Loss = 0.184757, 	Val Loss = 0.256694
Epoch 13, 	Batch:1, 	Train Loss = 0.137401, 	Val Loss = 0.256694
Epoch 13, 	Batch:2, 	Train Loss = 0.143572, 	Val Loss = 0.256694
Epoch 13, 	Batch:3, 	Train Loss = 0.135985, 	Val Loss = 0.256694
Epoch 13, 	Batch:4, 	Train Loss = 0.164287, 	Val Loss = 0.256694
Epoch 13, 	Batch:5, 	Train Loss = 0.160858, 	Val Loss = 0.256694
Epoch 13, 	Batch:6, 	Train Loss = 0.160815, 	Val Loss = 0.256694
Epoch 13, 	Batch:7, 	Train Loss = 0.164110, 	Val Loss = 0.256694
Epoch 14, 	Batch:0, 	Train Loss = 0.184035, 	Val Loss = 0.255523
Epoch 14, 	Batch:1, 	Train Loss = 0.137303, 	Val Loss = 0.255523
Epoch 14, 	Batch:2, 	Train Loss = 0.143532, 	Val Loss = 0.255523
Epoch 14, 	Batch:3, 	Train Loss = 0.135920, 	Val Loss = 0.255523
Epoch 14, 	Batch:4, 	Train Loss = 0.164155, 	Val Loss = 0.255523
Epoch 14, 	Batch:5, 	Train Loss = 0.160842, 	Val Loss = 0.255523
Epoch 14, 	Batch:6, 	Train Loss = 0.160781, 	Val Loss = 0.255523
Epoch 14, 	Batch:7, 	Train Loss = 0.164107, 	Val Loss = 0.255523
Epoch 15, 	Batch:0, 	Train Loss = 0.184021, 	Val Loss = 0.255718
Epoch 15, 	Batch:1, 	Train Loss = 0.137221, 	Val Loss = 0.255718
Epoch 15, 	Batch:2, 	Train Loss = 0.143259, 	Val Loss = 0.255718
Epoch 15, 	Batch:3, 	Train Loss = 0.135538, 	Val Loss = 0.255718
Epoch 15, 	Batch:4, 	Train Loss = 0.163755, 	Val Loss = 0.255718
Epoch 15, 	Batch:5, 	Train Loss = 0.160389, 	Val Loss = 0.255718
Epoch 15, 	Batch:6, 	Train Loss = 0.160348, 	Val Loss = 0.255718
Epoch 15, 	Batch:7, 	Train Loss = 0.163606, 	Val Loss = 0.255718
Epoch 16, 	Batch:0, 	Train Loss = 0.183981, 	Val Loss = 0.255574
Epoch 16, 	Batch:1, 	Train Loss = 0.136856, 	Val Loss = 0.255574
Epoch 16, 	Batch:2, 	Train Loss = 0.142992, 	Val Loss = 0.255574
Epoch 16, 	Batch:3, 	Train Loss = 0.135196, 	Val Loss = 0.255574
