Job runs on node:
lrdn4990
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=4
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 0.833734, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 0.696792, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 0.599953, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 0.577266, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 0.512025, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 0.468899, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 0.440263, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 0.422818, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.340515, 	Val Loss = 0.352806
Epoch 2, 	Batch:1, 	Train Loss = 0.244545, 	Val Loss = 0.352806
Epoch 2, 	Batch:2, 	Train Loss = 0.235177, 	Val Loss = 0.352806
Epoch 2, 	Batch:3, 	Train Loss = 0.278091, 	Val Loss = 0.352806
Epoch 2, 	Batch:4, 	Train Loss = 0.252226, 	Val Loss = 0.352806
Epoch 2, 	Batch:5, 	Train Loss = 0.242349, 	Val Loss = 0.352806
Epoch 2, 	Batch:6, 	Train Loss = 0.234819, 	Val Loss = 0.352806
Epoch 2, 	Batch:7, 	Train Loss = 0.235600, 	Val Loss = 0.352806
Epoch 3, 	Batch:0, 	Train Loss = 0.312470, 	Val Loss = 0.324166
Epoch 3, 	Batch:1, 	Train Loss = 0.208260, 	Val Loss = 0.324166
Epoch 3, 	Batch:2, 	Train Loss = 0.196503, 	Val Loss = 0.324166
Epoch 3, 	Batch:3, 	Train Loss = 0.240888, 	Val Loss = 0.324166
Epoch 3, 	Batch:4, 	Train Loss = 0.215163, 	Val Loss = 0.324166
Epoch 3, 	Batch:5, 	Train Loss = 0.205466, 	Val Loss = 0.324166
Epoch 3, 	Batch:6, 	Train Loss = 0.197729, 	Val Loss = 0.324166
Epoch 3, 	Batch:7, 	Train Loss = 0.199582, 	Val Loss = 0.324166
Epoch 4, 	Batch:0, 	Train Loss = 0.281834, 	Val Loss = 0.288784
Epoch 4, 	Batch:1, 	Train Loss = 0.190467, 	Val Loss = 0.288784
Epoch 4, 	Batch:2, 	Train Loss = 0.180917, 	Val Loss = 0.288784
Epoch 4, 	Batch:3, 	Train Loss = 0.217565, 	Val Loss = 0.288784
Epoch 4, 	Batch:4, 	Train Loss = 0.196270, 	Val Loss = 0.288784
Epoch 4, 	Batch:5, 	Train Loss = 0.188218, 	Val Loss = 0.288784
Epoch 4, 	Batch:6, 	Train Loss = 0.182585, 	Val Loss = 0.288784
Epoch 4, 	Batch:7, 	Train Loss = 0.185134, 	Val Loss = 0.288784
Epoch 5, 	Batch:0, 	Train Loss = 0.269459, 	Val Loss = 0.276327
Epoch 5, 	Batch:1, 	Train Loss = 0.177367, 	Val Loss = 0.276327
