,vloss,tloss,fidelity,file,train_type,mq,data_idx,EM_dist
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,0,7.966133
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,4,2.7841287
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,8,2.483706
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,12,2.1837351
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,16,1.9034572
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,20,1.5842527
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,24,1.2755156
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,28,0.96582144
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,32,0.7373201
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,36,0.5888388
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,40,0.53824043
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,44,0.5284591
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,48,0.5210978
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,52,0.52429247
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,56,0.5267667
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,60,0.5275618
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,64,0.5279483
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,68,0.5278011
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,72,0.52713704
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,76,0.5283796
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,80,0.53014517
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,84,0.53574383
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,88,0.54081833
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,92,0.54543704
0,0.17313820801945634,0.1331345889865606,,weights(8)(2)_1.npy,fi,2,96,0.549658
