,vloss,tloss,fidelity,file,train_type,mq,data_idx,EM_dist
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,0,7.7998824
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,4,5.0901732
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,8,4.711353
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,12,4.269647
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,16,3.7026901
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,20,2.9803386
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,24,2.2900195
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,28,1.5936053
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,32,1.0990671
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,36,0.7982299
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,40,0.606982
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,44,0.5001811
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,48,0.45681927
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,52,0.46470916
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,56,0.47122368
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,60,0.4752879
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,64,0.48271197
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,68,0.4891432
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,72,0.49456477
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,76,0.50449973
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,80,0.5137262
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,84,0.5219817
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,88,0.5294143
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,92,0.5361428
0,0.21173247083429914,0.21195625411710894,,weights(8)(2)_0.npy,fi,2,96,0.5422639
