,vloss,tloss,fidelity,file,train_type,mq,data_idx
0,0.13416299213712218,0.2220183786982099,0.05186193684515514,weights(8)(1)_1.npy,fi,1,0
0,0.13416299213712218,0.2220183786982099,0.13034073497167936,weights(8)(1)_1.npy,fi,1,4
0,0.13416299213712218,0.2220183786982099,0.1591838240973177,weights(8)(1)_1.npy,fi,1,8
0,0.13416299213712218,0.2220183786982099,0.20325178573804123,weights(8)(1)_1.npy,fi,1,12
0,0.13416299213712218,0.2220183786982099,0.2807711844211073,weights(8)(1)_1.npy,fi,1,16
0,0.13416299213712218,0.2220183786982099,0.41923951242784624,weights(8)(1)_1.npy,fi,1,20
0,0.13416299213712218,0.2220183786982099,0.6126714777972508,weights(8)(1)_1.npy,fi,1,24
0,0.13416299213712218,0.2220183786982099,0.7801623396761374,weights(8)(1)_1.npy,fi,1,28
0,0.13416299213712218,0.2220183786982099,0.8768683745241832,weights(8)(1)_1.npy,fi,1,32
0,0.13416299213712218,0.2220183786982099,0.9243981521124215,weights(8)(1)_1.npy,fi,1,36
0,0.13416299213712218,0.2220183786982099,0.9471092761807604,weights(8)(1)_1.npy,fi,1,40
0,0.13416299213712218,0.2220183786982099,0.9576702069406313,weights(8)(1)_1.npy,fi,1,44
0,0.13416299213712218,0.2220183786982099,0.9619960454825254,weights(8)(1)_1.npy,fi,1,48
0,0.13416299213712218,0.2220183786982099,0.9629541999529863,weights(8)(1)_1.npy,fi,1,52
0,0.13416299213712218,0.2220183786982099,0.9620280698195803,weights(8)(1)_1.npy,fi,1,56
0,0.13416299213712218,0.2220183786982099,0.9600330980467716,weights(8)(1)_1.npy,fi,1,60
0,0.13416299213712218,0.2220183786982099,0.9574392798992578,weights(8)(1)_1.npy,fi,1,64
0,0.13416299213712218,0.2220183786982099,0.954527756788986,weights(8)(1)_1.npy,fi,1,68
0,0.13416299213712218,0.2220183786982099,0.9514698030098837,weights(8)(1)_1.npy,fi,1,72
0,0.13416299213712218,0.2220183786982099,0.9483720979221933,weights(8)(1)_1.npy,fi,1,76
0,0.13416299213712218,0.2220183786982099,0.9453008431093266,weights(8)(1)_1.npy,fi,1,80
0,0.13416299213712218,0.2220183786982099,0.9422965349874198,weights(8)(1)_1.npy,fi,1,84
0,0.13416299213712218,0.2220183786982099,0.9393836518769678,weights(8)(1)_1.npy,fi,1,88
0,0.13416299213712218,0.2220183786982099,0.9365758609928911,weights(8)(1)_1.npy,fi,1,92
0,0.13416299213712218,0.2220183786982099,0.9338801717990438,weights(8)(1)_1.npy,fi,1,96
